Rank,Country,Quality of Life Index,Properties,Value,Continent
34,Italy,142.52,Purchasing Power Index,71.83,Europe
34,Italy,142.52,Safety Index,55.34,Europe
34,Italy,142.52,Health Care Index,66.31,Europe
34,Italy,142.52,Cost of Living Index,83.7,Europe
34,Italy,142.52,Property Price to Income Ratio,12.39,Europe
34,Italy,142.52,Traffic Commute Time Index,36.38,Europe
34,Italy,142.52,Pollution Index,51.57,Europe
34,Italy,142.52,Climate Index,82.6,Europe
35,Argentina,139.59,Purchasing Power Index,58.4,North and South America
35,Argentina,139.59,Safety Index,37.37,North and South America
35,Argentina,139.59,Health Care Index,73.3,North and South America
35,Argentina,139.59,Cost of Living Index,52.57,North and South America
35,Argentina,139.59,Property Price to Income Ratio,12.07,North and South America
35,Argentina,139.59,Traffic Commute Time Index,37.95,North and South America
35,Argentina,139.59,Pollution Index,53.33,North and South America
35,Argentina,139.59,Climate Index,90.67,North and South America
36,United Arab Emirates,139.27,Purchasing Power Index,116.77,Asia
36,United Arab Emirates,139.27,Safety Index,79.34,Asia
36,United Arab Emirates,139.27,Health Care Index,60.49,Asia
36,United Arab Emirates,139.27,Cost of Living Index,67.98,Asia
36,United Arab Emirates,139.27,Property Price to Income Ratio,5.6,Asia
36,United Arab Emirates,139.27,Traffic Commute Time Index,35.05,Asia
36,United Arab Emirates,139.27,Pollution Index,58.52,Asia
36,United Arab Emirates,139.27,Climate Index,8.86,Asia
37,Bosnia And Herzegovina,139.14,Purchasing Power Index,51.29,Europe
37,Bosnia And Herzegovina,139.14,Safety Index,59.03,Europe
37,Bosnia And Herzegovina,139.14,Health Care Index,61.49,Europe
37,Bosnia And Herzegovina,139.14,Cost of Living Index,35.05,Europe
37,Bosnia And Herzegovina,139.14,Property Price to Income Ratio,11.35,Europe
37,Bosnia And Herzegovina,139.14,Traffic Commute Time Index,26.63,Europe
37,Bosnia And Herzegovina,139.14,Pollution Index,60.69,Europe
37,Bosnia And Herzegovina,139.14,Climate Index,73.29,Europe
38,Hungary,138.82,Purchasing Power Index,47.52,Europe
38,Hungary,138.82,Safety Index,61.61,Europe
38,Hungary,138.82,Health Care Index,53.46,Europe
38,Hungary,138.82,Cost of Living Index,42.77,Europe
38,Hungary,138.82,Property Price to Income Ratio,11.2,Europe
38,Hungary,138.82,Traffic Commute Time Index,33.09,Europe
38,Hungary,138.82,Pollution Index,43.99,Europe
38,Hungary,138.82,Climate Index,66.49,Europe
39,Bulgaria,138.2,Purchasing Power Index,51.4,Europe
39,Bulgaria,138.2,Safety Index,59.82,Europe
39,Bulgaria,138.2,Health Care Index,54.03,Europe
39,Bulgaria,138.2,Cost of Living Index,36.49,Europe
39,Bulgaria,138.2,Property Price to Income Ratio,9.07,Europe
39,Bulgaria,138.2,Traffic Commute Time Index,27.92,Europe
39,Bulgaria,138.2,Pollution Index,63.12,Europe
39,Bulgaria,138.2,Climate Index,77.05,Europe
40,Chile,136.2,Purchasing Power Index,61.28,North and South America
40,Chile,136.2,Safety Index,52.5,North and South America
40,Chile,136.2,Health Care Index,60.97,North and South America
40,Chile,136.2,Cost of Living Index,50.09,North and South America
40,Chile,136.2,Property Price to Income Ratio,10.67,North and South America
40,Chile,136.2,Traffic Commute Time Index,35.7,North and South America
40,Chile,136.2,Pollution Index,67.67,North and South America
40,Chile,136.2,Climate Index,89.39,North and South America
41,Serbia,133.43,Purchasing Power Index,40.8,Europe
41,Serbia,133.43,Safety Index,61.38,Europe
41,Serbia,133.43,Health Care Index,53.86,Europe
41,Serbia,133.43,Cost of Living Index,33.79,Europe
41,Serbia,133.43,Property Price to Income Ratio,17.87,Europe
41,Serbia,133.43,Traffic Commute Time Index,29.93,Europe
41,Serbia,133.43,Pollution Index,55.29,Europe
41,Serbia,133.43,Climate Index,82.66,Europe
42,Qatar,132.37,Purchasing Power Index,111.28,Asia
42,Qatar,132.37,Safety Index,84.3,Asia
42,Qatar,132.37,Health Care Index,66.14,Asia
42,Qatar,132.37,Cost of Living Index,69.2,Asia
42,Qatar,132.37,Property Price to Income Ratio,6.19,Asia
42,Qatar,132.37,Traffic Commute Time Index,32.97,Asia
42,Qatar,132.37,Pollution Index,73.29,Asia
42,Qatar,132.37,Climate Index,9.26,Asia
43,Lithuania,130.28,Purchasing Power Index,51.67,Europe
43,Lithuania,130.28,Safety Index,59.97,Europe
43,Lithuania,130.28,Health Care Index,68.74,Europe
43,Lithuania,130.28,Cost of Living Index,46.73,Europe
43,Lithuania,130.28,Property Price to Income Ratio,14.19,Europe
43,Lithuania,130.28,Traffic Commute Time Index,28,Europe
43,Lithuania,130.28,Pollution Index,34.27,Europe
43,Lithuania,130.28,Climate Index,25.04,Europe
44,Turkey,129.63,Purchasing Power Index,55.64,Others
44,Turkey,129.63,Safety Index,58.91,Others
44,Turkey,129.63,Health Care Index,71.68,Others
44,Turkey,129.63,Cost of Living Index,38.6,Others
44,Turkey,129.63,Property Price to Income Ratio,8.87,Others
44,Turkey,129.63,Traffic Commute Time Index,47.58,Others
44,Turkey,129.63,Pollution Index,70.46,Others
44,Turkey,129.63,Climate Index,73.19,Others
45,Mexico,129.06,Purchasing Power Index,60.08,North and South America
45,Mexico,129.06,Safety Index,49.68,North and South America
45,Mexico,129.06,Health Care Index,70.11,North and South America
45,Mexico,129.06,Cost of Living Index,29.81,North and South America
45,Mexico,129.06,Property Price to Income Ratio,6.94,North and South America
45,Mexico,129.06,Traffic Commute Time Index,41.66,North and South America
45,Mexico,129.06,Pollution Index,66.74,North and South America
45,Mexico,129.06,Climate Index,60.74,North and South America
46,Belarus,119.23,Purchasing Power Index,36.43,Europe
46,Belarus,119.23,Safety Index,77.74,Europe
46,Belarus,119.23,Health Care Index,53.76,Europe
46,Belarus,119.23,Cost of Living Index,33.84,Europe
46,Belarus,119.23,Property Price to Income Ratio,18.73,Europe
46,Belarus,119.23,Traffic Commute Time Index,27.66,Europe
46,Belarus,119.23,Pollution Index,39.64,Europe
46,Belarus,119.23,Climate Index,20.07,Europe
47,Jordan,117.47,Purchasing Power Index,42.27,Asia
47,Jordan,117.47,Safety Index,56.86,Asia
47,Jordan,117.47,Health Care Index,71.92,Asia
47,Jordan,117.47,Cost of Living Index,59.22,Asia
47,Jordan,117.47,Property Price to Income Ratio,7.96,Asia
47,Jordan,117.47,Traffic Commute Time Index,47.76,Asia
47,Jordan,117.47,Pollution Index,85.73,Asia
47,Jordan,117.47,Climate Index,88.42,Asia
48,North Macedonia,116.42,Purchasing Power Index,39.85,Europe
48,North Macedonia,116.42,Safety Index,61.34,Europe
48,North Macedonia,116.42,Health Care Index,63.46,Europe
48,North Macedonia,116.42,Cost of Living Index,30.93,Europe
48,North Macedonia,116.42,Property Price to Income Ratio,14.67,Europe
48,North Macedonia,116.42,Traffic Commute Time Index,33.79,Europe
48,North Macedonia,116.42,Pollution Index,83.38,Europe
48,North Macedonia,116.42,Climate Index,75.54,Europe
49,Colombia,115.38,Purchasing Power Index,37.63,North and South America
49,Colombia,115.38,Safety Index,48.31,North and South America
49,Colombia,115.38,Health Care Index,65.79,North and South America
49,Colombia,115.38,Cost of Living Index,34.45,North and South America
49,Colombia,115.38,Property Price to Income Ratio,19.43,North and South America
49,Colombia,115.38,Traffic Commute Time Index,43.77,North and South America
49,Colombia,115.38,Pollution Index,63.9,North and South America
49,Colombia,115.38,Climate Index,81.34,North and South America
50,Lebanon,106.18,Purchasing Power Index,53.61,Asia
50,Lebanon,106.18,Safety Index,50.84,Asia
50,Lebanon,106.18,Health Care Index,64.28,Asia
50,Lebanon,106.18,Cost of Living Index,61.65,Asia
50,Lebanon,106.18,Property Price to Income Ratio,13.95,Asia
50,Lebanon,106.18,Traffic Commute Time Index,36.15,Asia
50,Lebanon,106.18,Pollution Index,85.11,Asia
50,Lebanon,106.18,Climate Index,69.39,Asia
51,India,101.52,Purchasing Power Index,76.73,Asia
51,India,101.52,Safety Index,56.04,Asia
51,India,101.52,Health Care Index,69.18,Asia
51,India,101.52,Cost of Living Index,25.08,Asia
51,India,101.52,Property Price to Income Ratio,10.28,Asia
51,India,101.52,Traffic Commute Time Index,46.38,Asia
51,India,101.52,Pollution Index,76.53,Asia
51,India,101.52,Climate Index,9.3,Asia
52,Iran,97.17,Purchasing Power Index,43.18,Asia
52,Iran,97.17,Safety Index,49.1,Asia
52,Iran,97.17,Health Care Index,51.55,Asia
52,Iran,97.17,Cost of Living Index,38.26,Asia
52,Iran,97.17,Property Price to Income Ratio,13.5,Asia
52,Iran,97.17,Traffic Commute Time Index,49.7,Asia
52,Iran,97.17,Pollution Index,82.51,Asia
52,Iran,97.17,Climate Index,71.48,Asia
53,Brazil,96.15,Purchasing Power Index,42.38,North and South America
53,Brazil,96.15,Safety Index,29.38,North and South America
53,Brazil,96.15,Health Care Index,51.7,North and South America
53,Brazil,96.15,Cost of Living Index,53.07,North and South America
53,Brazil,96.15,Property Price to Income Ratio,16.96,North and South America
53,Brazil,96.15,Traffic Commute Time Index,46.39,North and South America
53,Brazil,96.15,Pollution Index,61.17,North and South America
53,Brazil,96.15,Climate Index,70.76,North and South America
54,Hong Kong,94.45,Purchasing Power Index,81.45,Asia
54,Hong Kong,94.45,Safety Index,79.32,Asia
54,Hong Kong,94.45,Health Care Index,67.99,Asia
54,Hong Kong,94.45,Cost of Living Index,79.96,Asia
54,Hong Kong,94.45,Property Price to Income Ratio,36.15,Asia
54,Hong Kong,94.45,Traffic Commute Time Index,42.22,Asia
54,Hong Kong,94.45,Pollution Index,69.9,Asia
54,Hong Kong,94.45,Climate Index,29.73,Asia
55,Pakistan,93.41,Purchasing Power Index,39.95,Asia
55,Pakistan,93.41,Safety Index,45.62,Asia
55,Pakistan,93.41,Health Care Index,59.05,Asia
55,Pakistan,93.41,Cost of Living Index,27.18,Asia
55,Pakistan,93.41,Property Price to Income Ratio,12.09,Asia
55,Pakistan,93.41,Traffic Commute Time Index,38.69,Asia
55,Pakistan,93.41,Pollution Index,80.08,Asia
55,Pakistan,93.41,Climate Index,42.54,Asia
56,Egypt,91.81,Purchasing Power Index,29.39,Others
56,Egypt,91.81,Safety Index,47.14,Others
56,Egypt,91.81,Health Care Index,43.73,Others
56,Egypt,91.81,Cost of Living Index,22.36,Others
56,Egypt,91.81,Property Price to Income Ratio,10.66,Others
56,Egypt,91.81,Traffic Commute Time Index,48.84,Others
56,Egypt,91.81,Pollution Index,88.88,Others
56,Egypt,91.81,Climate Index,75.59,Others
57,China,90.95,Purchasing Power Index,67.84,Asia
57,China,90.95,Safety Index,66.1,Asia
57,China,90.95,Health Care Index,62.25,Asia
57,China,90.95,Cost of Living Index,44.76,Asia
57,China,90.95,Property Price to Income Ratio,23.29,Asia
57,China,90.95,Traffic Commute Time Index,43.87,Asia
57,China,90.95,Pollution Index,88.96,Asia
57,China,90.95,Climate Index,38.7,Asia
58,Sri Lanka,88.99,Purchasing Power Index,30.28,Asia
58,Sri Lanka,88.99,Safety Index,65.43,Asia
58,Sri Lanka,88.99,Health Care Index,80.04,Asia
58,Sri Lanka,88.99,Cost of Living Index,33.47,Asia
58,Sri Lanka,88.99,Property Price to Income Ratio,17.49,Asia
58,Sri Lanka,88.99,Traffic Commute Time Index,47.19,Asia
58,Sri Lanka,88.99,Pollution Index,61.9,Asia
58,Sri Lanka,88.99,Climate Index,2.4,Asia
59,Ukraine,87.49,Purchasing Power Index,26.93,Europe
59,Ukraine,87.49,Safety Index,48.73,Europe
59,Ukraine,87.49,Health Care Index,49.81,Europe
59,Ukraine,87.49,Cost of Living Index,26.22,Europe
59,Ukraine,87.49,Property Price to Income Ratio,22.87,Europe
59,Ukraine,87.49,Traffic Commute Time Index,39.16,Europe
59,Ukraine,87.49,Pollution Index,67.26,Europe
59,Ukraine,87.49,Climate Index,49.94,Europe
60,Singapore,86.5,Purchasing Power Index,92.7,Asia
60,Singapore,86.5,Safety Index,83.42,Asia
60,Singapore,86.5,Health Care Index,69.87,Asia
60,Singapore,86.5,Cost of Living Index,82.41,Asia
60,Singapore,86.5,Property Price to Income Ratio,21.63,Asia
60,Singapore,86.5,Traffic Commute Time Index,43.39,Asia
60,Singapore,86.5,Pollution Index,37.04,Asia
60,Singapore,86.5,Climate Index,71.47,Asia
61,Russia,85.93,Purchasing Power Index,48.27,Others
61,Russia,85.93,Safety Index,53.95,Others
61,Russia,85.93,Health Care Index,56.4,Others
61,Russia,85.93,Cost of Living Index,42.01,Others
61,Russia,85.93,Property Price to Income Ratio,13.55,Others
61,Russia,85.93,Traffic Commute Time Index,48.57,Others
61,Russia,85.93,Pollution Index,63.04,Others
61,Russia,85.93,Climate Index,10.69,Others
62,Indonesia,62.02,Purchasing Power Index,27.61,Asia
62,Indonesia,62.02,Safety Index,50.32,Asia
62,Indonesia,62.02,Health Care Index,64.8,Asia
62,Indonesia,62.02,Cost of Living Index,41.11,Asia
62,Indonesia,62.02,Property Price to Income Ratio,21.03,Asia
62,Indonesia,62.02,Traffic Commute Time Index,49.44,Asia
62,Indonesia,62.02,Pollution Index,76.41,Asia
62,Indonesia,62.02,Climate Index,9.62,Asia
63,Thailand,57.21,Purchasing Power Index,34.28,Asia
63,Thailand,57.21,Safety Index,50.22,Asia
63,Thailand,57.21,Health Care Index,80.66,Asia
63,Thailand,57.21,Cost of Living Index,43.71,Asia
63,Thailand,57.21,Property Price to Income Ratio,24.43,Asia
63,Thailand,57.21,Traffic Commute Time Index,43.56,Asia
63,Thailand,57.21,Pollution Index,73.23,Asia
63,Thailand,57.21,Climate Index,20.21,Asia
64,Philippines,56.87,Purchasing Power Index,36,Asia
64,Philippines,56.87,Safety Index,60.23,Asia
64,Philippines,56.87,Health Care Index,69.16,Asia
64,Philippines,56.87,Cost of Living Index,34.71,Asia
64,Philippines,56.87,Property Price to Income Ratio,16.91,Asia
64,Philippines,56.87,Traffic Commute Time Index,45.14,Asia
64,Philippines,56.87,Pollution Index,70.25,Asia
64,Philippines,56.87,Climate Index,44.1,Asia
65,Malaysia,51.65,Purchasing Power Index,73.34,Asia
65,Malaysia,51.65,Safety Index,35.25,Asia
65,Malaysia,51.65,Health Care Index,65.99,Asia
65,Malaysia,51.65,Cost of Living Index,40.24,Asia
65,Malaysia,51.65,Property Price to Income Ratio,9.53,Asia
65,Malaysia,51.65,Traffic Commute Time Index,39.4,Asia
65,Malaysia,51.65,Pollution Index,67.08,Asia
65,Malaysia,51.65,Climate Index,79.43,Asia
66,Vietnam,36.12,Purchasing Power Index,24.77,Asia
66,Vietnam,36.12,Safety Index,47.04,Asia
66,Vietnam,36.12,Health Care Index,47.87,Asia
66,Vietnam,36.12,Cost of Living Index,40.11,Asia
66,Vietnam,36.12,Property Price to Income Ratio,26.76,Asia
66,Vietnam,36.12,Traffic Commute Time Index,33,Asia
66,Vietnam,36.12,Pollution Index,88.1,Asia
66,Vietnam,36.12,Climate Index,12.87,Asia
